## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	63784                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	8
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
4645279127	SMP	1	804.91	404.18	564.24	435.41	15.89	15.89	3.56	16.63	16.63	3.68	800.94	405.04	807.59	405.04	561.32	436.53	568.31	436.52	899.09	998.94	899.09	998.94	0	1	1	2	-1	-1	-37.90	24.49	547.03	16.86	16.93	536.93	0.04	-0.01	-1.00	0.00	0.02	-1.00		
4645283127	SMP	1	804.98	404.20	564.15	435.41	15.99	15.99	3.57	16.84	16.84	3.69	800.92	405.04	807.58	405.03	561.29	436.55	568.29	436.53	899.23	1000.30	899.23	1000.30	0	1	1	2	-1	-1	-37.90	24.50	547.09	16.86	16.92	536.65	0.03	-0.01	-1.00	0.00	0.02	-1.00	 -1	
4645287128	SMP	1	804.98	404.17	564.09	435.45	15.94	15.94	3.58	16.69	16.69	3.69	800.89	405.04	807.52	405.03	561.28	436.56	568.26	436.56	899.80	1001.29	899.80	1001.29	0	1	1	2	-1	-1	-37.90	24.50	547.21	16.86	16.91	536.52	0.03	-0.01	-1.00	0.00	0.02	-1.00	 -1	
4645291129	SMP	1	804.97	404.17	564.08	435.50	15.97	15.97	3.58	16.86	16.86	3.69	800.88	405.03	807.50	405.02	561.27	436.57	568.22	436.57	899.68	1002.79	899.68	1002.79	0	1	1	2	-1	-1	-37.91	24.51	547.42	16.86	16.91	536.49	0.03	-0.01	-1.00	0.00	0.02	-1.00	 -1	
4645295129	SMP	1	804.89	404.07	564.03	435.60	15.92	15.92	3.58	16.77	16.77	3.70	800.83	405.03	807.44	405.03	561.25	436.59	568.18	436.60	900.58	1003.94	900.58	1003.94	0	1	1	2	-1	-1	-37.91	24.52	547.67	16.87	16.90	536.58	0.03	0.00	-1.00	0.00	0.01	-1.00	 -1	
4645299130	SMP	1	804.86	404.10	564.04	435.47	15.93	15.93	3.59	16.75	16.75	3.70	800.80	405.03	807.40	405.03	561.22	436.60	568.13	436.63	899.94	1002.84	899.94	1002.84	0	1	1	2	-1	-1	-37.92	24.54	547.94	16.89	16.90	536.72	0.03	0.00	-1.00	0.00	0.02	-1.00	 -1	
4645303131	SMP	1	804.88	404.12	564.04	435.59	15.94	15.94	3.59	16.91	16.91	3.70	800.77	405.04	807.34	405.06	561.20	436.61	568.07	436.68	898.11	1003.50	898.11	1003.50	0	1	1	2	-1	-1	-37.93	24.55	548.27	16.90	16.91	537.01	0.03	0.00	-1.00	0.00	0.02	-1.00	 -1	
4645307131	SMP	1	804.81	404.20	563.95	435.61	16.02	16.02	3.59	16.83	16.83	3.71	800.72	405.06	807.30	405.06	561.17	436.65	568.01	436.72	898.01	1004.18	898.01	1004.18	0	1	1	2	-1	-1	-37.94	24.55	548.50	16.93	16.91	537.41	0.03	-0.01	-1.00	0.00	0.02	-1.00	 -1	
4645311132	SMP	1	804.86	404.18	563.81	435.62	15.89	15.89	3.59	16.71	16.71	3.70	800.64	405.06	807.28	405.06	561.09	436.71	567.95	436.76	898.20	1004.19	898.20	1004.19	0	1	1	2	-1	-1	-37.92	24.55	548.45	16.95	16.91	537.69	0.03	0.00	-1.00	0.00	0.02	-1.00	 -1	
4645315133	SMP	1	804.85	404.17	563.85	435.71	15.93	15.93	3.60	16.89	16.89	3.71	800.57	405.08	807.25	405.05	561.01	436.81	567.87	436.81	895.11	1004.78	895.11	1004.78	0	1	1	2	-1	-1	-37.90	24.54	548.23	16.98	16.90	537.93	0.02	0.00	-1.00	0.00	0.02	-1.00	 -1	
