## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	58970                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	21
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
13134048708	SMP	1	811.19	935.56	569.43	958.83	17.37	17.37	4.42	17.20	17.20	4.36	809.03	940.16	814.38	940.10	568.61	963.63	573.86	963.58	1148.33	236.00	1148.33	236.00	0	1	1	2	-1	-1	-43.91	-109.31	606.39	17.56	-116.33	611.80	0.09	0.40	-0.91	0.07	0.42	-0.90		
13134052711	SMP	1	810.94	935.66	569.16	958.81	17.48	17.48	4.42	17.00	17.00	4.35	808.79	940.20	814.05	940.14	568.27	963.73	573.60	963.67	1144.03	230.97	1144.03	230.97	0	1	1	2	-1	-1	-43.87	-109.42	606.93	17.62	-116.25	611.26	0.09	0.40	-0.91	0.07	0.43	-0.90	 -1	
13134056714	SMP	1	810.64	935.78	568.93	958.93	17.45	17.45	4.43	17.12	17.12	4.36	808.53	940.23	813.78	940.14	568.09	963.73	573.22	963.72	1142.08	232.06	1142.08	232.06	0	1	1	2	-1	-1	-43.84	-109.51	607.42	17.72	-116.41	612.11	0.09	0.40	-0.91	0.06	0.43	-0.90	 -1	
13134060718	SMP	1	810.49	935.67	568.72	959.06	17.31	17.31	4.42	17.28	17.28	4.37	808.27	940.34	813.61	940.21	567.86	963.85	573.04	963.75	1138.87	227.18	1138.87	227.18	0	1	1	2	-1	-1	-43.78	-109.51	607.31	17.78	-116.51	612.52	0.09	0.41	-0.91	0.06	0.42	-0.90	 -1	
13134064721	SMP	1	810.32	935.66	568.45	959.03	17.55	17.55	4.43	17.12	17.12	4.37	808.11	940.38	813.45	940.30	567.60	963.90	572.83	963.83	1136.81	221.20	1136.81	221.20	0	1	1	2	-1	-1	-43.73	-109.51	607.22	17.85	-116.54	612.57	0.09	0.41	-0.91	0.07	0.43	-0.90	 -1	
13134068724	SMP	1	810.07	935.74	568.20	959.09	17.30	17.30	4.42	17.10	17.10	4.38	807.90	940.39	813.16	940.36	567.35	963.96	572.57	963.90	1133.94	218.21	1133.94	218.21	0	1	1	2	-1	-1	-43.69	-109.59	607.59	17.91	-116.57	612.62	0.09	0.41	-0.91	0.07	0.43	-0.90	 -1	
13134072727	SMP	1	809.70	935.65	568.03	959.24	17.14	17.14	4.41	17.21	17.21	4.38	807.62	940.42	812.89	940.41	567.18	964.04	572.33	963.91	1132.62	213.76	1132.62	213.76	0	1	1	2	-1	-1	-43.64	-109.65	607.88	17.98	-116.67	613.13	0.09	0.41	-0.91	0.06	0.42	-0.90	 -1	
13134076730	SMP	1	809.61	935.99	567.77	959.39	17.44	17.44	4.42	17.13	17.13	4.38	807.29	940.52	812.64	940.47	566.92	964.08	572.13	964.00	1129.04	219.71	1129.04	219.71	0	1	1	2	-1	-1	-43.55	-109.63	607.63	18.04	-116.70	613.18	0.08	0.40	-0.91	0.07	0.42	-0.91	 -1	
13134080734	SMP	1	809.36	935.97	567.50	959.50	17.29	17.29	4.41	17.02	17.02	4.38	807.16	940.57	812.48	940.59	566.61	964.07	571.85	964.06	1128.97	219.25	1128.97	219.25	0	1	1	2	-1	-1	-43.51	-109.64	607.59	18.11	-116.69	613.09	0.09	0.41	-0.91	0.06	0.42	-0.91	 -1	
13134084737	SMP	1	809.09	936.12	567.32	959.45	17.49	17.49	4.42	17.24	17.24	4.39	807.01	940.64	812.28	940.69	566.34	964.11	571.59	964.02	1129.29	220.17	1129.29	220.17	0	1	1	2	-1	-1	-43.49	-109.72	607.90	18.18	-116.66	612.93	0.09	0.40	-0.91	0.06	0.42	-0.91	 -1	
