## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	36507                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	118
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
7319748145	SMP	1	784.47	579.86	532.18	591.29	17.86	17.86	4.53	18.42	18.42	4.62	780.39	580.65	785.52	580.70	530.59	593.06	535.95	593.01	923.56	977.86	923.56	977.86	0	1	1	2	-1	-1	-37.22	-17.95	617.03	27.24	-20.91	609.89	-0.02	0.07	-1.00	0.01	0.13	-0.99	 -1	
7319752148	SMP	1	784.57	579.94	532.19	591.31	17.84	17.84	4.53	18.36	18.36	4.62	780.43	580.65	785.63	580.71	530.72	593.04	535.97	592.99	925.53	977.24	925.53	977.24	0	1	1	2	-1	-1	-37.25	-17.96	617.31	27.26	-20.93	610.63	-0.02	0.07	-1.00	0.02	0.12	-0.99	 -1	
7319756150	SMP	1	784.70	579.93	532.28	591.36	17.82	17.82	4.53	18.25	18.25	4.62	780.45	580.64	785.76	580.72	530.83	593.02	536.00	592.99	925.64	977.50	925.64	977.50	0	1	1	2	-1	-1	-37.25	-17.95	616.85	27.29	-20.97	611.82	-0.02	0.07	-1.00	0.02	0.12	-0.99	 -1	
7319760152	SMP	1	784.77	579.87	532.34	591.33	17.85	17.85	4.53	18.28	18.28	4.62	780.48	580.63	785.85	580.73	530.91	593.00	536.05	592.98	926.97	976.38	926.97	976.38	0	1	1	2	-1	-1	-37.21	-17.92	616.02	27.33	-21.01	613.08	-0.02	0.07	-1.00	0.02	0.12	-0.99	 -1	
7319764155	SMP	1	784.82	579.94	532.41	591.19	17.81	17.81	4.52	18.26	18.26	4.62	780.51	580.59	785.91	580.74	530.98	592.98	536.09	592.93	927.86	974.92	927.86	974.92	0	1	1	2	-1	-1	-37.17	-17.89	615.18	27.38	-21.05	614.41	-0.03	0.07	-1.00	0.02	0.13	-0.99	 -1	
7319768157	SMP	1	784.90	579.88	532.41	591.16	17.75	17.75	4.52	18.27	18.27	4.62	780.59	580.52	785.96	580.71	531.01	592.95	536.20	592.84	929.62	973.76	929.62	973.76	0	1	1	2	-1	-1	-37.15	-17.86	614.57	27.39	-21.05	615.05	-0.03	0.07	-1.00	0.02	0.13	-0.99	 -1	
7319772160	SMP	1	784.97	579.77	532.60	590.96	17.79	17.79	4.51	18.31	18.31	4.62	780.62	580.49	786.04	580.58	531.03	592.90	536.32	592.71	930.11	969.98	930.11	969.98	0	1	1	2	-1	-1	-37.11	-17.82	613.69	27.36	-21.03	614.96	-0.03	0.07	-1.00	0.01	0.13	-0.99	 -1	
7319776162	SMP	1	785.18	579.73	532.63	590.93	17.69	17.69	4.51	18.35	18.35	4.62	780.75	580.39	786.13	580.44	531.11	592.70	536.41	592.56	928.77	971.92	928.77	971.92	0	1	1	2	-1	-1	-37.11	-17.77	613.20	27.34	-20.98	614.83	-0.03	0.07	-1.00	0.02	0.12	-0.99	 -1	
7319780165	SMP	1	785.21	579.59	532.72	590.74	17.78	17.78	4.50	18.34	18.34	4.63	780.88	580.37	786.20	580.30	531.21	592.52	536.46	592.48	929.30	970.29	929.30	970.29	0	1	1	2	-1	-1	-37.14	-17.75	613.16	27.33	-20.95	615.09	-0.03	0.07	-1.00	0.02	0.13	-0.99	 -1	
7319784167	SMP	1	785.32	579.49	532.75	590.73	17.81	17.81	4.50	18.32	18.32	4.63	781.03	580.35	786.22	580.18	531.26	592.37	536.51	592.41	928.95	971.11	928.95	971.11	0	1	1	2	-1	-1	-37.20	-17.75	613.90	27.32	-20.93	615.26	-0.03	0.07	-1.00	0.02	0.12	-0.99	 -1	
