## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	71510                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	117
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
996130027	SMP	1	1073.32	421.81	781.14	414.30	14.37	14.37	3.28	14.10	14.10	3.14	1069.15	423.92	1075.90	424.01	780.41	415.99	787.21	415.99	1059.34	1030.72	1059.34	1030.72	0	1	1	2	-1	-1	-98.57	19.93	541.38	-32.77	21.70	540.10	0.14	0.06	-0.99	0.18	0.04	-0.98		
996134021	SMP	1	1073.47	421.95	781.29	414.25	14.27	14.27	3.27	14.14	14.14	3.14	1069.39	424.07	1076.11	424.10	780.69	415.97	787.43	415.92	1060.27	1030.23	1060.27	1030.23	0	1	1	2	-1	-1	-98.62	19.90	541.38	-32.86	21.72	540.57	0.14	0.06	-0.99	0.19	0.04	-0.98		
996138016	SMP	1	1073.59	422.02	781.55	414.18	14.39	14.39	3.27	14.01	14.01	3.14	1069.58	424.24	1076.21	424.11	780.81	415.94	787.68	415.90	1059.18	1028.02	1059.18	1028.02	0	1	1	2	-1	-1	-98.72	19.90	541.75	-32.89	21.72	540.43	0.15	0.06	-0.99	0.18	0.04	-0.98	 -1	
996142011	SMP	1	1073.73	422.06	781.72	414.19	14.52	14.52	3.27	14.16	14.16	3.14	1069.69	424.28	1076.36	424.11	780.95	415.86	787.87	415.92	1058.02	1027.73	1058.02	1027.73	0	1	1	2	-1	-1	-98.79	19.90	541.94	-32.91	21.72	540.06	0.15	0.06	-0.99	0.18	0.04	-0.98	 -1	
996146006	SMP	1	1073.90	422.13	781.78	414.14	14.54	14.54	3.27	14.16	14.16	3.14	1069.83	424.33	1076.58	424.18	781.08	415.83	787.97	415.91	1057.92	1026.99	1057.92	1026.99	0	1	1	2	-1	-1	-98.79	19.88	541.74	-32.92	21.71	539.87	0.14	0.06	-0.99	0.19	0.04	-0.98	 -1	
996150001	SMP	1	1073.98	422.16	781.99	414.05	14.40	14.40	3.27	14.20	14.20	3.14	1069.94	424.37	1076.85	424.31	781.24	415.86	788.12	415.86	1058.12	1024.32	1058.12	1024.32	0	1	1	2	-1	-1	-98.67	19.83	540.86	-32.95	21.71	539.74	0.15	0.06	-0.99	0.18	0.04	-0.98	 -1	
996153996	SMP	1	1074.15	422.23	782.06	413.96	14.45	14.45	3.27	14.11	14.11	3.14	1070.08	424.39	1076.95	424.37	781.44	415.88	788.29	415.77	1058.85	1021.45	1058.85	1021.45	0	1	1	2	-1	-1	-98.59	19.80	540.27	-32.99	21.72	539.76	0.15	0.06	-0.99	0.19	0.05	-0.98	 -1	
996157990	SMP	1	1074.20	422.25	782.31	413.98	14.48	14.48	3.27	14.09	14.09	3.14	1070.23	424.41	1076.99	424.42	781.73	415.81	788.42	415.71	1060.42	1020.37	1060.42	1020.37	0	1	1	2	-1	-1	-98.60	19.79	540.20	-33.08	21.76	540.48	0.15	0.06	-0.99	0.19	0.04	-0.98	 -1	
996161985	SMP	1	1074.35	422.32	782.56	413.89	14.45	14.45	3.27	14.29	14.29	3.15	1070.40	424.44	1077.03	424.46	781.93	415.67	788.58	415.71	1060.90	1019.14	1060.90	1019.14	0	1	1	2	-1	-1	-98.72	19.80	540.74	-33.17	21.81	541.32	0.15	0.06	-0.99	0.18	0.04	-0.98	 -1	
996165980	SMP	1	1074.42	422.40	782.66	413.91	14.43	14.43	3.27	14.03	14.03	3.15	1070.52	424.46	1077.07	424.48	781.99	415.60	788.74	415.69	1062.13	1020.19	1062.13	1020.19	0	1	1	2	-1	-1	-98.89	19.82	541.57	-33.21	21.83	541.59	0.15	0.06	-0.99	0.18	0.04	-0.98	 -1	
996169975	SMP	1	1074.45	422.27	782.80	413.87	14.48	14.48	3.27	14.00	14.00	3.14	1070.59	424.47	1077.12	424.52	782.03	415.55	788.90	415.60	1063.26	1018.40	1063.26	1018.40	0	1	1	2	-1	-1	-99.06	19.85	542.40	-33.22	21.84	541.32	0.15	0.07	-0.99	0.18	0.04	-0.98	 -1	
996173970	SMP	1	1074.61	422.36	782.95	413.90	14.48	14.48	3.27	14.08	14.08	3.14	1070.66	424.49	1077.16	424.53	782.07	415.50	789.03	415.50	1062.74	1019.70	1062.74	1019.70	0	1	1	2	-1	-1	-99.22	19.87	543.25	-33.20	21.83	540.68	0.15	0.06	-0.99	0.18	0.03	-0.98	 -1	
996177965	SMP	1	1074.77	422.38	783.03	413.75	14.41	14.41	3.27	14.17	14.17	3.14	1070.74	424.50	1077.32	424.58	782.14	415.46	789.13	415.41	1061.27	1019.15	1061.27	1019.15	0	1	1	2	-1	-1	-99.33	19.88	543.67	-33.18	21.82	539.99	0.14	0.06	-0.99	0.18	0.04	-0.98	 -1	
996181959	SMP	1	1074.87	422.40	783.17	413.65	14.46	14.46	3.28	14.20	14.20	3.15	1070.81	424.51	1077.55	424.61	782.37	415.39	789.28	415.30	1061.06	1019.41	1061.06	1019.41	0	1	1	2	-1	-1	-99.30	19.87	543.32	-33.20	21.83	539.72	0.15	0.06	-0.99	0.18	0.04	-0.98	 -1	
