## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	29908                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	199
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
14260098761	SMP	1	786.95	516.18	491.76	528.44	15.71	15.71	3.28	15.20	15.20	3.10	783.14	519.39	790.73	519.44	487.20	535.13	495.78	535.40	936.60	604.32	936.60	604.32	0	1	1	2	-1	-1	-31.43	-1.69	506.97	30.31	-4.87	487.02	0.06	0.14	-0.99	-0.07	0.29	-0.95		
14260102759	SMP	1	785.02	516.97	490.55	529.66	15.12	15.12	3.26	15.19	15.19	3.09	781.46	520.56	788.93	520.56	485.97	536.57	494.52	536.58	936.46	601.35	936.46	601.35	0	1	1	2	-1	-1	-31.13	-1.94	508.10	30.54	-5.13	486.63	0.07	0.16	-0.98	-0.07	0.30	-0.95	 -1	
14260106757	SMP	1	783.46	518.63	489.39	530.60	15.85	15.85	3.27	15.21	15.21	3.08	779.72	521.94	787.28	521.91	484.81	537.67	493.23	537.82	934.74	600.10	934.74	600.10	0	1	1	2	-1	-1	-30.80	-2.23	508.79	30.79	-5.37	486.68	0.06	0.15	-0.99	-0.07	0.31	-0.95	 -1	
14260110755	SMP	1	781.77	520.11	488.22	531.90	15.65	15.65	3.27	15.12	15.12	3.07	778.00	523.27	785.48	523.29	483.68	538.78	492.02	539.03	933.88	603.84	933.88	603.84	0	1	1	2	-1	-1	-30.48	-2.53	509.69	31.05	-5.61	486.99	0.06	0.14	-0.99	-0.07	0.30	-0.95	 -1	
14260114753	SMP	1	779.85	521.02	486.93	533.27	15.14	15.14	3.25	15.18	15.18	3.07	776.38	524.59	783.77	524.57	482.46	540.08	490.86	540.28	936.04	600.04	936.04	600.04	0	1	1	2	-1	-1	-30.19	-2.81	510.82	31.30	-5.88	487.08	0.07	0.16	-0.98	-0.07	0.30	-0.95	 -1	
14260118750	SMP	1	778.36	522.84	485.54	534.56	15.65	15.65	3.26	15.07	15.07	3.06	774.63	525.97	782.05	525.97	481.18	541.58	489.62	541.55	935.14	605.23	935.14	605.23	0	1	1	2	-1	-1	-29.87	-3.11	511.71	31.55	-6.16	487.01	0.06	0.14	-0.99	-0.07	0.30	-0.95	 -1	
14260122748	SMP	1	776.60	524.26	484.61	535.82	15.51	15.51	3.26	15.34	15.34	3.06	772.90	527.40	780.38	527.39	480.14	542.74	488.38	542.91	934.67	605.88	934.67	605.88	0	1	1	2	-1	-1	-29.54	-3.43	512.31	31.82	-6.42	487.60	0.06	0.14	-0.99	-0.08	0.30	-0.95	 -1	
14260126746	SMP	1	774.96	525.63	483.29	537.18	15.75	15.75	3.27	15.15	15.15	3.06	771.25	528.76	778.59	528.73	478.95	544.03	487.21	544.12	934.08	607.75	934.08	607.75	0	1	1	2	-1	-1	-29.23	-3.72	513.35	32.10	-6.69	488.08	0.05	0.14	-0.99	-0.07	0.30	-0.95	 -1	
14260130744	SMP	1	773.18	527.09	482.17	538.59	15.75	15.75	3.28	15.09	15.09	3.05	769.54	530.19	776.86	530.22	477.76	545.45	486.00	545.47	933.74	608.64	933.74	608.64	0	1	1	2	-1	-1	-28.91	-4.05	514.37	32.38	-6.98	488.57	0.06	0.14	-0.99	-0.07	0.30	-0.95	 -1	
14260134741	SMP	1	771.53	527.99	480.92	539.79	14.94	14.94	3.26	15.06	15.06	3.05	767.88	531.52	775.27	531.52	476.51	546.72	484.87	546.81	934.54	599.84	934.54	599.84	0	1	1	2	-1	-1	-28.60	-4.34	515.00	32.62	-7.25	488.63	0.06	0.16	-0.98	-0.07	0.31	-0.95	 -1	
14260138739	SMP	1	769.84	529.97	479.58	541.23	15.51	15.51	3.27	14.85	14.85	3.04	766.22	532.92	773.52	532.93	475.35	547.98	483.73	548.06	936.87	612.27	936.87	612.27	0	1	1	2	-1	-1	-28.28	-4.65	515.92	32.86	-7.51	488.60	0.05	0.14	-0.99	-0.06	0.30	-0.95	 -1	
14260142737	SMP	1	768.18	531.15	478.54	542.40	15.59	15.59	3.28	14.94	14.94	3.03	764.55	534.33	771.79	534.36	474.21	549.15	482.51	549.32	936.50	607.93	936.50	607.93	0	1	1	2	-1	-1	-27.97	-4.97	516.99	33.12	-7.76	488.85	0.05	0.15	-0.99	-0.07	0.30	-0.95	 -1	
14260146735	SMP	1	766.57	532.51	477.30	543.62	15.69	15.69	3.29	15.00	15.00	3.03	762.96	535.65	770.30	535.65	473.11	550.45	481.39	550.56	938.59	609.24	938.59	609.24	0	1	1	2	-1	-1	-27.66	-5.26	517.53	33.37	-8.02	489.14	0.05	0.15	-0.99	-0.07	0.30	-0.95	 -1	
14260150733	SMP	1	765.00	534.15	476.36	544.97	15.56	15.56	3.29	15.13	15.13	3.03	761.35	537.12	768.57	537.16	472.07	551.68	480.25	551.84	937.75	613.22	937.75	613.22	0	1	1	2	-1	-1	-27.35	-5.59	518.50	33.63	-8.29	489.68	0.05	0.14	-0.99	-0.07	0.30	-0.95	 -1	
14260154730	SMP	1	763.46	535.33	475.33	546.13	15.57	15.57	3.30	14.86	14.86	3.03	759.77	538.50	767.01	538.50	471.08	552.92	479.18	553.03	938.03	610.57	938.03	610.57	0	1	1	2	-1	-1	-27.05	-5.90	519.27	33.89	-8.56	490.45	0.05	0.15	-0.99	-0.07	0.30	-0.95	 -1	
