participant_id,gender,fixation_count,total_fix_time,avg_fix_duration,avg_saccade_length
1,male,21,1848,88.0,1.05
2,male,10,656,65.6,1.1111111111111112
3,female,155,14692,94.78709677419354,0.4090909090909091
4,male,233,29572,126.91845493562232,0.46120689655172414
5,male,227,23456,103.33039647577093,0.6283185840707964
6,male,164,15464,94.29268292682927,0.49079754601226994
8,female,67,5072,75.70149253731343,1.5909090909090908
9,male,85,8024,94.4,0.5476190476190477
10,male,155,19796,127.71612903225807,0.7597402597402597
11,male,141,11640,82.55319148936171,0.8071428571428572
12,female,185,22884,123.6972972972973,0.5380434782608695
13,female,262,36256,138.38167938931298,0.8544061302681992
14,male,166,19964,120.26506024096386,0.4909090909090909
15,male,213,21428,100.60093896713614,0.5377358490566038
16,male,221,26208,118.58823529411765,0.7545454545454545
17,male,244,26160,107.21311475409836,0.588477366255144
18,female,43,3400,79.06976744186046,1.2619047619047619
19,female,4,296,74.0,3.3333333333333335
20,male,228,32236,141.3859649122807,0.5330396475770925
21,male,340,34180,100.52941176470588,0.37168141592920356
22,male,1,68,68.0,0.0
23,male,6,564,94.0,0.6
24,male,215,32348,150.45581395348836,0.3925233644859813
25,male,410,41860,102.09756097560975,0.6943765281173594
26,male,100,13116,131.16,0.7676767676767676
27,male,117,10752,91.8974358974359,0.5775862068965517
28,male,317,42200,133.1230283911672,0.7278481012658228
29,male,206,24272,117.8252427184466,0.8975609756097561
30,male,171,18424,107.74269005847954,0.611764705882353
31,male,299,31552,105.52508361204013,0.7046979865771812
32,male,151,18696,123.81456953642385,0.22666666666666666
33,male,173,22036,127.3757225433526,1.2674418604651163
34,male,262,36256,138.38167938931298,0.40229885057471265
35,male,172,28244,164.2093023255814,0.672514619883041
36,female,81,7528,92.93827160493827,0.4125
37,male,225,22984,102.1511111111111,0.65625
38,male,248,23780,95.88709677419355,0.8421052631578947
39,female,20,1568,78.4,1.368421052631579
40,male,163,16848,103.36196319018404,0.9691358024691358
41,male,191,18468,96.69109947643979,0.531578947368421
42,male,59,4456,75.52542372881356,0.6551724137931034
43,male,172,20164,117.23255813953489,0.7953216374269005
44,male,184,18348,99.71739130434783,0.4207650273224044
45,male,324,39132,120.77777777777777,0.49226006191950467
46,male,27,1992,73.77777777777777,0.7307692307692307
48,male,123,10492,85.30081300813008,0.5655737704918032
50,male,19,1916,100.84210526315789,0.4444444444444444
51,male,159,16828,105.83647798742139,0.4620253164556962
53,male,193,18372,95.19170984455958,0.8645833333333334
54,male,354,59764,168.82485875706215,0.7337110481586402
55,male,332,55124,166.03614457831324,0.525679758308157
56,male,159,25612,161.0817610062893,0.36075949367088606
57,male,77,7056,91.63636363636364,0.8026315789473685
58,male,421,48980,116.34204275534442,0.5142857142857142
59,female,97,7976,82.22680412371135,1.3854166666666667
60,male,287,32136,111.97212543554006,0.486013986013986
61,male,409,41460,101.36919315403424,0.7058823529411765
62,male,106,11992,113.13207547169812,0.6666666666666666
63,male,357,43784,122.64425770308124,0.6320224719101124
64,male,428,46976,109.75700934579439,0.7845433255269321
65,female,62,5504,88.7741935483871,1.0819672131147542
66,female,80,6656,83.2,0.620253164556962
