participant_id,gender,fixation_count,total_fix_time,avg_fix_duration,avg_saccade_length
1,male,143,13884,97.0909090909091,0.8309859154929577
2,male,2,132,66.0,6.0
3,female,199,19348,97.22613065326634,0.5252525252525253
4,male,200,22948,114.74,0.37185929648241206
5,male,191,19932,104.35602094240838,0.5
6,male,243,22100,90.94650205761317,0.5289256198347108
8,female,204,27292,133.7843137254902,0.5566502463054187
9,male,29,2492,85.93103448275862,0.8214285714285714
10,male,169,21780,128.87573964497042,0.4642857142857143
11,male,167,13436,80.45508982035928,0.9036144578313253
12,female,404,51904,128.47524752475246,0.4392059553349876
13,female,595,81868,137.59327731092438,0.8535353535353535
14,male,236,29036,123.03389830508475,0.7319148936170212
15,male,221,21508,97.32126696832579,1.3590909090909091
16,male,343,41724,121.64431486880467,0.5116959064327485
17,male,325,40136,123.49538461538461,1.0617283950617284
18,female,357,38100,106.72268907563026,0.9101123595505618
19,female,84,9636,114.71428571428571,0.8554216867469879
20,male,270,34692,128.48888888888888,0.7732342007434945
21,male,486,50240,103.37448559670781,0.36082474226804123
23,male,11,700,63.63636363636363,2.0
24,male,214,35012,163.60747663551402,0.49765258215962443
25,male,336,31912,94.97619047619048,0.6597014925373135
26,male,204,27756,136.05882352941177,1.1330049261083743
27,male,82,7236,88.2439024390244,0.6419753086419753
28,male,116,18824,162.27586206896552,0.5043478260869565
29,male,184,20596,111.93478260869566,1.1420765027322404
30,male,168,17048,101.47619047619048,0.4251497005988024
31,male,290,30736,105.98620689655172,0.6851211072664359
32,male,243,29784,122.5679012345679,0.4256198347107438
33,male,288,34672,120.38888888888889,1.0452961672473868
34,male,188,23488,124.93617021276596,0.9625668449197861
35,male,278,54772,197.02158273381295,0.9386281588447654
36,female,103,9384,91.10679611650485,0.6568627450980392
37,male,363,47136,129.8512396694215,0.6546961325966851
38,male,49,4028,82.20408163265306,1.6458333333333333
39,female,54,5812,107.62962962962963,0.4716981132075472
40,male,228,26964,118.26315789473684,1.1145374449339207
41,male,302,31756,105.1523178807947,0.6411960132890365
42,male,125,10184,81.472,1.3709677419354838
43,male,338,35176,104.07100591715977,0.7388724035608308
44,male,331,31460,95.04531722054381,0.8333333333333334
45,male,460,64372,139.9391304347826,0.954248366013072
46,male,36,2604,72.33333333333333,1.7142857142857142
48,male,214,21488,100.41121495327103,0.4835680751173709
50,male,240,20512,85.46666666666667,0.9581589958158996
51,male,97,11760,121.23711340206185,0.5104166666666666
53,male,143,16520,115.52447552447552,1.0211267605633803
54,male,169,25672,151.90532544378698,0.5714285714285714
55,male,313,58008,185.32907348242813,0.6282051282051282
56,male,157,23456,149.40127388535032,1.1025641025641026
57,male,201,17660,87.86069651741293,0.925
58,male,177,24332,137.4689265536723,0.75
59,female,370,47068,127.21081081081081,0.6504065040650406
60,male,330,38920,117.93939393939394,0.5227963525835866
61,male,228,22584,99.05263157894737,0.8722466960352423
62,male,113,12372,109.48672566371681,0.5267857142857143
63,male,312,37892,121.44871794871794,0.6270096463022508
64,male,651,71528,109.87403993855607,0.9661538461538461
65,female,39,3488,89.43589743589743,1.3421052631578947
66,female,26,2148,82.61538461538461,1.16
67,male,41,3052,74.4390243902439,0.7
68,male,145,16396,113.07586206896552,0.6041666666666666
69,male,274,36308,132.5109489051095,0.8754578754578755
70,male,150,12336,82.24,0.3691275167785235
71,male,292,23404,80.15068493150685,1.134020618556701
72,male,370,31868,86.12972972972973,0.8509485094850948
73,male,378,39840,105.39682539682539,0.896551724137931
74,male,111,14204,127.96396396396396,0.7181818181818181
75,male,345,48428,140.37101449275363,0.8255813953488372
76,female,37,2488,67.24324324324324,1.1388888888888888
77,male,430,59916,139.33953488372094,0.3333333333333333
78,male,113,14084,124.63716814159292,0.5982142857142857
79,male,339,37232,109.82890855457227,0.5769230769230769
80,male,110,10016,91.05454545454545,1.5412844036697249
81,male,271,32608,120.32472324723247,0.6185185185185185
82,male,189,25040,132.48677248677248,1.2712765957446808
83,male,315,32572,103.4031746031746,0.8789808917197452
84,male,283,28808,101.79505300353357,0.6028368794326241
85,male,96,12888,134.25,0.6526315789473685
86,female,313,45220,144.47284345047925,0.5801282051282052
87,male,274,43640,159.27007299270073,0.22344322344322345
88,male,117,8800,75.21367521367522,1.293103448275862
89,male,452,59948,132.6283185840708,0.6053215077605322
90,male,1,108,108.0,0.0
91,male,232,41028,176.8448275862069,0.9956709956709957
92,male,23,1700,73.91304347826087,1.4545454545454546
93,female,63,6792,107.80952380952381,1.3870967741935485
